INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,27-Aug-2015,0,XX,18055.35,18127.55,17855,18071.6,18071.6,165060,741622.75,2277500,56500,21-AUG-2015,
FUTIDX,BANKNIFTY,24-Sep-2015,0,XX,18205,18243,17972.05,18181.3,18181.3,23514,106269.98,430975,165850,21-AUG-2015,
FUTIDX,BANKNIFTY,29-Oct-2015,0,XX,18265.7,18363.75,18090,18282.3,18282.3,1117,5082.85,31100,4400,21-AUG-2015,
FUTIDX,CNXINFRA,27-Aug-2015,0,XX,0,0,0,3286.65,3127.3,0,0,0,0,21-AUG-2015,
FUTIDX,CNXINFRA,24-Sep-2015,0,XX,0,0,0,3362.5,3146,0,0,0,0,21-AUG-2015,
FUTIDX,CNXINFRA,29-Oct-2015,0,XX,0,0,0,3349.5,3169.45,0,0,0,0,21-AUG-2015,
FUTIDX,CNXIT,27-Aug-2015,0,XX,11950,12119.75,11840,12036,12036,768,2308.54,14375,-3900,21-AUG-2015,
FUTIDX,CNXIT,24-Sep-2015,0,XX,11975,12168,11900.05,12090.7,12090.7,59,177.99,1450,275,21-AUG-2015,
FUTIDX,CNXIT,29-Oct-2015,0,XX,0,0,0,12254.95,12209.9,0,0,25,0,21-AUG-2015,
FUTIDX,CNXPSE,27-Aug-2015,0,XX,0,0,0,3218,3195.9,0,0,75,0,21-AUG-2015,
FUTIDX,CNXPSE,24-Sep-2015,0,XX,0,0,0,3617.4,3215,0,0,0,0,21-AUG-2015,
FUTIDX,CNXPSE,29-Oct-2015,0,XX,0,0,0,3585.15,3239,0,0,0,0,21-AUG-2015,
FUTIDX,DJIA,21-Aug-2015,0,XX,16885,16950,16822.5,16937.5,16831.88,372,1570.59,1700,-4100,21-AUG-2015,
FUTIDX,DJIA,18-Sep-2015,0,XX,16800,16950,16800,16937.5,16937.5,940,3971.95,27650,17475,21-AUG-2015,
FUTIDX,DJIA,16-Oct-2015,0,XX,0,0,0,18477.5,17195,0,0,0,0,21-AUG-2015,
FUTIDX,DJIA,18-Dec-2015,0,XX,0,0,0,19362.5,17427.5,0,0,0,0,21-AUG-2015,
FUTIDX,DJIA,18-Mar-2016,0,XX,0,0,0,19560,17767.5,0,0,0,0,21-AUG-2015,
FUTIDX,DJIA,17-Jun-2016,0,XX,0,0,0,19635,18112.5,0,0,0,0,21-AUG-2015,
FUTIDX,FTSE100,21-Aug-2015,0,XX,0,0,0,6600,6324.96,0,0,400,0,21-AUG-2015,
FUTIDX,FTSE100,18-Sep-2015,0,XX,0,0,0,7413,6406,0,0,0,0,21-AUG-2015,
FUTIDX,FTSE100,16-Oct-2015,0,XX,0,0,0,6891,6445,0,0,0,0,21-AUG-2015,
FUTIDX,FTSE100,20-Nov-2015,0,XX,0,0,0,6531,6493,0,0,0,0,21-AUG-2015,
FUTIDX,FTSE100,18-Dec-2015,0,XX,0,0,0,7042,6531,0,0,0,0,21-AUG-2015,
FUTIDX,FTSE100,18-Mar-2016,0,XX,0,0,0,7571,6659,0,0,0,0,21-AUG-2015,
FUTIDX,FTSE100,17-Jun-2016,0,XX,0,0,0,7242,6789,0,0,0,0,21-AUG-2015,
FUTIDX,NFTYMCAP50,27-Aug-2015,0,XX,3310,3464.95,3235.05,3409.95,3409.95,4,10.06,75225,-75,21-AUG-2015,
