INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,28-May-2015,0,XX,18247,18430,18176.1,18401.5,18401.5,98675,451597.42,1760325,133100,18-MAY-2015,
FUTIDX,BANKNIFTY,25-Jun-2015,0,XX,18316.3,18478.5,18232.9,18453.7,18453.7,5251,24111.98,204100,30950,18-MAY-2015,
FUTIDX,BANKNIFTY,30-Jul-2015,0,XX,18351.85,18555.4,18320,18489.8,18489.8,279,1287.24,15650,2475,18-MAY-2015,
FUTIDX,CNXINFRA,28-May-2015,0,XX,0,0,0,3296,3160.25,0,0,100,0,18-MAY-2015,
FUTIDX,CNXINFRA,25-Jun-2015,0,XX,0,0,0,3245.75,3180.8,0,0,0,0,18-MAY-2015,
FUTIDX,CNXINFRA,30-Jul-2015,0,XX,0,0,0,3218.65,3206.35,0,0,0,0,18-MAY-2015,
FUTIDX,CNXIT,28-May-2015,0,XX,11172.6,11300,11160,11282.3,11282.3,299,839.91,16150,-625,18-MAY-2015,
FUTIDX,CNXIT,25-Jun-2015,0,XX,11208.6,11275,11208.55,11275,11275,5,14.03,2000,0,18-MAY-2015,
FUTIDX,CNXIT,30-Jul-2015,0,XX,0,0,0,11224.25,11469.4,0,0,0,0,18-MAY-2015,
FUTIDX,CNXPSE,28-May-2015,0,XX,0,0,0,3490,3458.15,0,0,0,0,18-MAY-2015,
FUTIDX,CNXPSE,25-Jun-2015,0,XX,0,0,0,3465.9,3480.65,0,0,0,0,18-MAY-2015,
FUTIDX,CNXPSE,30-Jul-2015,0,XX,0,0,0,3483.45,3508.65,0,0,0,0,18-MAY-2015,
FUTIDX,DJIA,19-Jun-2015,0,XX,18215,18242.5,18185,18220,18220,249,1133.89,21100,-375,18-MAY-2015,
FUTIDX,DJIA,17-Jul-2015,0,XX,0,0,0,18472.5,18527.5,0,0,0,0,18-MAY-2015,
FUTIDX,DJIA,21-Aug-2015,0,XX,0,0,0,18660,18675,0,0,0,0,18-MAY-2015,
FUTIDX,DJIA,18-Sep-2015,0,XX,0,0,0,18855,18795,0,0,0,0,18-MAY-2015,
FUTIDX,DJIA,18-Dec-2015,0,XX,0,0,0,19362.5,19190,0,0,0,0,18-MAY-2015,
FUTIDX,DJIA,18-Mar-2016,0,XX,0,0,0,19560,19595,0,0,0,0,18-MAY-2015,
FUTIDX,FTSE100,19-Jun-2015,0,XX,6950,6970,6950,6970,7012,8,27.86,500,400,18-MAY-2015,
FUTIDX,FTSE100,17-Jul-2015,0,XX,0,0,0,7246,7057,0,0,0,0,18-MAY-2015,
FUTIDX,FTSE100,21-Aug-2015,0,XX,0,0,0,7109,7114,0,0,0,0,18-MAY-2015,
FUTIDX,FTSE100,18-Sep-2015,0,XX,0,0,0,7413,7160,0,0,0,0,18-MAY-2015,
FUTIDX,FTSE100,18-Dec-2015,0,XX,0,0,0,7042,7310,0,0,0,0,18-MAY-2015,
FUTIDX,FTSE100,18-Mar-2016,0,XX,0,0,0,7571,7464,0,0,0,0,18-MAY-2015,
FUTIDX,NFTYMCAP50,28-May-2015,0,XX,0,0,0,3426.25,3349.35,0,0,0,0,18-MAY-2015,
FUTIDX,NFTYMCAP50,25-Jun-2015,0,XX,0,0,0,3377.6,3371.1,0,0,0,0,18-MAY-2015,
FUTIDX,NFTYMCAP50,30-Jul-2015,0,XX,0,0,0,3333.2,3398.2,0,0,0,0,18-MAY-2015,
FUTIDX,NIFTY,28-May-2015,0,XX,8283,8384.95,8265.25,8372.8,8372.8,411646,856899.11,13624125,-385900,18-MAY-2015,
FUTIDX,NIFTY,25-Jun-2015,0,XX,8305,8410.8,8291.6,8399.3,8399.3,26726,55796.38,1858875,179125,18-MAY-2015,
FUTIDX,NIFTY,30-Jul-2015,0,XX,8348.2,8447.85,8340.05,8433.5,8433.5,4406,9240.29,165250,32050,18-MAY-2015,
FUTIDX,S&P500,19-Jun-2015,0,XX,2117.5,2119,2113,2117.75,2117.75,200,1058.08,245750,-3500,18-MAY-2015,
FUTIDX,S&P500,17-Jul-2015,0,XX,0,0,0,2147.75,2152.25,0,0,0,0,18-MAY-2015,
FUTIDX,S&P500,21-Aug-2015,0,XX,0,0,0,2168.5,2169.5,0,0,0,0,18-MAY-2015,
FUTIDX,S&P500,18-Sep-2015,0,XX,0,0,0,2196.5,2183.5,0,0,0,0,18-MAY-2015,
FUTIDX,S&P500,18-Dec-2015,0,XX,0,0,0,2244.75,2229.25,0,0,0,0,18-MAY-2015,
FUTIDX,S&P500,18-Mar-2016,0,XX,0,0,0,2275.75,2276.25,0,0,0,0,18-MAY-2015,
FUTIVX,INDIAVIX,19-May-2015,0,XX,0,0,0,1735.5,1792.25,0,0,0,0,18-MAY-2015,
FUTIVX,INDIAVIX,26-May-2015,0,XX,0,0,0,1732.75,1779.5,0,0,0,0,18-MAY-2015,
FUTIVX,INDIAVIX,02-Jun-2015,0,XX,0,0,0,2013.25,1777,0,0,0,0,18-MAY-2015,
FUTSTK,ABIRLANUVO,28-May-2015,0,XX,1856.3,1873,1832.5,1863.65,1863.65,1858,4301.43,1245375,28625,18-MAY-2015,
FUTSTK,ABIRLANUVO,25-Jun-2015,0,XX,1865,1881.6,1843.05,1873.7,1873.7,74,172.38,32375,1375,18-MAY-2015,
FUTSTK,ABIRLANUVO,30-Jul-2015,0,XX,0,0,0,1599.85,1886.8,0,0,0,0,18-MAY-2015,
FUTSTK,ACC,28-May-2015,0,XX,1477.7,1519.05,1471.7,1514.1,1514.1,3315,6216.95,1053625,-3750,18-MAY-2015,
FUTSTK,ACC,25-Jun-2015,0,XX,1491.4,1528.65,1491.4,1523.95,1523.95,118,222.61,27125,5375,18-MAY-2015,
FUTSTK,ACC,30-Jul-2015,0,XX,0,0,0,1465,1535.3,0,0,125,0,18-MAY-2015,
FUTSTK,ADANIENT,28-May-2015,0,XX,735.6,777.4,735.5,772.75,772.75,13366,50642.58,5676500,378500,18-MAY-2015,
FUTSTK,ADANIENT,25-Jun-2015,0,XX,744.95,778.5,740.65,773.1,773.1,440,1667.49,241000,28000,18-MAY-2015,
FUTSTK,ADANIENT,30-Jul-2015,0,XX,746.1,760,746.1,760,787.4,5,18.85,11500,1500,18-MAY-2015,
FUTSTK,ADANIPORTS,28-May-2015,0,XX,330.75,340.7,329.65,339.55,339.55,3904,13128.9,8181000,166000,18-MAY-2015,
FUTSTK,ADANIPORTS,25-Jun-2015,0,XX,331.3,342.45,331.3,340.45,340.45,190,642.37,449000,-23000,18-MAY-2015,
FUTSTK,ADANIPORTS,30-Jul-2015,0,XX,0,0,0,332.2,345.1,0,0,5000,0,18-MAY-2015,
FUTSTK,ADANIPOWER,28-May-2015,0,XX,42.5,42.5,41.5,42.05,42.05,1624,2722.9,57260000,-204000,18-MAY-2015,
FUTSTK,ADANIPOWER,25-Jun-2015,0,XX,42,42.5,41.85,42.35,42.35,195,329.65,2340000,468000,18-MAY-2015,
FUTSTK,ADANIPOWER,30-Jul-2015,0,XX,0,0,0,41.65,42.65,0,0,52000,0,18-MAY-2015,
FUTSTK,ALBK,28-May-2015,0,XX,106.45,107.9,103.4,104.55,104.55,2561,5381.58,6540000,-484000,18-MAY-2015,
FUTSTK,ALBK,25-Jun-2015,0,XX,105.8,106.75,102.6,103.7,103.7,150,312.57,1024000,82000,18-MAY-2015,
FUTSTK,ALBK,30-Jul-2015,0,XX,107.05,107.05,104.55,104.55,106.1,4,8.44,12000,6000,18-MAY-2015,
FUTSTK,AMBUJACEM,28-May-2015,0,XX,235.05,243.55,233.75,241.55,241.55,2620,6249.54,4973000,-215000,18-MAY-2015,
FUTSTK,AMBUJACEM,25-Jun-2015,0,XX,238.7,245,235.8,242.7,242.7,117,279.64,173000,48000,18-MAY-2015,
FUTSTK,AMBUJACEM,30-Jul-2015,0,XX,239.9,239.9,239.9,239.9,244.75,3,7.19,3000,2000,18-MAY-2015,
FUTSTK,AMTEKAUTO,28-May-2015,0,XX,147.45,152,147.45,150.1,150.1,2074,6225.83,16010000,586000,18-MAY-2015,
FUTSTK,AMTEKAUTO,25-Jun-2015,0,XX,149.75,152.8,149.05,151,151,137,413.49,360000,142000,18-MAY-2015,
FUTSTK,AMTEKAUTO,30-Jul-2015,0,XX,0,0,0,162.05,152.1,0,0,0,0,18-MAY-2015,
FUTSTK,ANDHRABANK,28-May-2015,0,XX,78.9,79.4,77.15,78.05,78.05,1455,4549.15,15476000,552000,18-MAY-2015,
