INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,25-Jun-2015,0,XX,18725,18870,18621.05,18641.4,18641.4,91585,429206.1,1742400,124100,01-JUN-2015,
FUTIDX,BANKNIFTY,30-Jul-2015,0,XX,18869.8,18944,18701,18722.1,18722.1,2293,10797.41,73975,13900,01-JUN-2015,
FUTIDX,BANKNIFTY,27-Aug-2015,0,XX,19000,19053,18825,18839.2,18839.2,215,1020.15,5400,3150,01-JUN-2015,
FUTIDX,CNXINFRA,25-Jun-2015,0,XX,0,0,0,3245.75,3262.25,0,0,0,0,01-JUN-2015,
FUTIDX,CNXINFRA,30-Jul-2015,0,XX,0,0,0,3218.65,3288.6,0,0,0,0,01-JUN-2015,
FUTIDX,CNXINFRA,27-Aug-2015,0,XX,0,0,0,3235.7,3309.5,0,0,0,0,01-JUN-2015,
FUTIDX,CNXIT,25-Jun-2015,0,XX,11599,11623.5,11485,11503.4,11503.4,447,1290.96,11625,-4525,01-JUN-2015,
FUTIDX,CNXIT,30-Jul-2015,0,XX,11559.7,11559.7,11559.7,11559.7,11559.7,1,2.88,50,0,01-JUN-2015,
FUTIDX,CNXIT,27-Aug-2015,0,XX,0,0,0,11689.15,11754.85,0,0,0,0,01-JUN-2015,
FUTIDX,CNXPSE,25-Jun-2015,0,XX,0,0,0,3465.9,3578.3,0,0,0,0,01-JUN-2015,
FUTIDX,CNXPSE,30-Jul-2015,0,XX,0,0,0,3483.45,3607.15,0,0,0,0,01-JUN-2015,
FUTIDX,CNXPSE,27-Aug-2015,0,XX,0,0,0,3584,3630.1,0,0,0,0,01-JUN-2015,
FUTIDX,DJIA,19-Jun-2015,0,XX,18035,18085,17990,18005,18005,267,1204.25,23250,1300,01-JUN-2015,
FUTIDX,DJIA,17-Jul-2015,0,XX,17960,17960,17960,17960,17960,1,4.49,25,25,01-JUN-2015,
FUTIDX,DJIA,21-Aug-2015,0,XX,0,0,0,18660,18345,0,0,0,0,01-JUN-2015,
FUTIDX,DJIA,18-Sep-2015,0,XX,0,0,0,18855,18462.5,0,0,0,0,01-JUN-2015,
FUTIDX,DJIA,18-Dec-2015,0,XX,0,0,0,19362.5,18845,0,0,0,0,01-JUN-2015,
FUTIDX,DJIA,18-Mar-2016,0,XX,0,0,0,19560,19237.5,0,0,0,0,01-JUN-2015,
