INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,30-Jul-2015,0,XX,19149.6,19190,18876,19089.6,19089.6,120628,573970.62,1747500,-127100,20-JUL-2015,
FUTIDX,BANKNIFTY,27-Aug-2015,0,XX,19228.7,19270.95,18980,19179.8,19179.8,5659,27051.66,161700,1475,20-JUL-2015,
FUTIDX,BANKNIFTY,24-Sep-2015,0,XX,19350,19350,19084,19274.4,19274.4,390,1871.96,32200,-775,20-JUL-2015,
FUTIDX,CNXINFRA,30-Jul-2015,0,XX,0,0,0,3218.65,3410.4,0,0,0,0,20-JUL-2015,
FUTIDX,CNXINFRA,27-Aug-2015,0,XX,0,0,0,3235.7,3431.1,0,0,0,0,20-JUL-2015,
FUTIDX,CNXINFRA,24-Sep-2015,0,XX,0,0,0,3362.5,3451.9,0,0,0,0,20-JUL-2015,
FUTIDX,CNXIT,30-Jul-2015,0,XX,11255.05,11309.95,11199,11257.05,11257.05,386,1086.24,19975,175,20-JUL-2015,
FUTIDX,CNXIT,27-Aug-2015,0,XX,11280,11280,11224.9,11224.9,11359.65,6,16.86,450,50,20-JUL-2015,
FUTIDX,CNXIT,24-Sep-2015,0,XX,0,0,0,11204.35,11428.45,0,0,50,0,20-JUL-2015,
FUTIDX,CNXPSE,30-Jul-2015,0,XX,0,0,0,3483.45,3608.45,0,0,0,0,20-JUL-2015,
FUTIDX,CNXPSE,27-Aug-2015,0,XX,0,0,0,3584,3630.4,0,0,0,0,20-JUL-2015,
FUTIDX,CNXPSE,24-Sep-2015,0,XX,0,0,0,3617.4,3652.4,0,0,0,0,20-JUL-2015,
FUTIDX,DJIA,21-Aug-2015,0,XX,18015,18065,18010,18060,18060,85,383.14,9675,350,20-JUL-2015,
FUTIDX,DJIA,18-Sep-2015,0,XX,0,0,0,18300,18322.5,0,0,25,0,20-JUL-2015,
FUTIDX,DJIA,16-Oct-2015,0,XX,0,0,0,18477.5,18435,0,0,0,0,20-JUL-2015,
FUTIDX,DJIA,18-Dec-2015,0,XX,0,0,0,19362.5,18685,0,0,0,0,20-JUL-2015,
FUTIDX,DJIA,18-Mar-2016,0,XX,0,0,0,19560,19057.5,0,0,0,0,20-JUL-2015,
FUTIDX,DJIA,17-Jun-2016,0,XX,0,0,0,19635,19435,0,0,0,0,20-JUL-2015,
FUTIDX,FTSE100,21-Aug-2015,0,XX,0,0,0,7109,6822,0,0,100,0,20-JUL-2015,
FUTIDX,FTSE100,18-Sep-2015,0,XX,0,0,0,7413,6864,0,0,0,0,20-JUL-2015,
FUTIDX,FTSE100,16-Oct-2015,0,XX,0,0,0,6891,6905,0,0,0,0,20-JUL-2015,
FUTIDX,FTSE100,18-Dec-2015,0,XX,0,0,0,7042,7000,0,0,0,0,20-JUL-2015,
FUTIDX,FTSE100,18-Mar-2016,0,XX,0,0,0,7571,7138,0,0,0,0,20-JUL-2015,
FUTIDX,FTSE100,17-Jun-2016,0,XX,0,0,0,7242,7280,0,0,0,0,20-JUL-2015,
FUTIDX,NFTYMCAP50,30-Jul-2015,0,XX,0,0,0,3333.2,3456.3,0,0,0,0,20-JUL-2015,
FUTIDX,NFTYMCAP50,27-Aug-2015,0,XX,0,0,0,3414.35,3477.3,0,0,0,0,20-JUL-2015,
FUTIDX,NFTYMCAP50,24-Sep-2015,0,XX,0,0,0,3316.15,3498.35,0,0,0,0,20-JUL-2015,
FUTIDX,NIFTY,30-Jul-2015,0,XX,8625.5,8647.7,8576.65,8628.25,8628.25,297120,639415.05,21412925,223250,20-JUL-2015,
FUTIDX,NIFTY,27-Aug-2015,0,XX,8670.55,8684,8615,8665.8,8665.8,18994,41046.85,1715075,105675,20-JUL-2015,
FUTIDX,NIFTY,24-Sep-2015,0,XX,8687.15,8718.75,8651.1,8697.65,8697.65,1616,3506.28,335550,11225,20-JUL-2015,
FUTIDX,S&P500,21-Aug-2015,0,XX,2118.5,2123.5,2118.5,2122.75,2122.75,162,859,208750,27500,20-JUL-2015,
FUTIDX,S&P500,18-Sep-2015,0,XX,0,0,0,2196.5,2154.5,0,0,0,0,20-JUL-2015,
FUTIDX,S&P500,16-Oct-2015,0,XX,0,0,0,2166,2167.5,0,0,0,0,20-JUL-2015,
FUTIDX,S&P500,18-Dec-2015,0,XX,0,0,0,2244.75,2197.25,0,0,0,0,20-JUL-2015,
FUTIDX,S&P500,18-Mar-2016,0,XX,0,0,0,2275.75,2240.75,0,0,0,0,20-JUL-2015,
FUTIDX,S&P500,17-Jun-2016,0,XX,0,0,0,2299,2285,0,0,0,0,20-JUL-2015,
FUTIVX,INDIAVIX,21-Jul-2015,0,XX,0,0,0,1693.5,1493,0,0,0,0,20-JUL-2015,
FUTIVX,INDIAVIX,28-Jul-2015,0,XX,0,0,0,1637.25,1498.75,0,0,0,0,20-JUL-2015,
FUTIVX,INDIAVIX,04-Aug-2015,0,XX,0,0,0,1610.5,1516.5,0,0,0,0,20-JUL-2015,
FUTSTK,ABIRLANUVO,30-Jul-2015,0,XX,1956.5,2030,1928,2013.55,2013.55,5968,14902.15,972625,-4125,20-JUL-2015,
FUTSTK,ABIRLANUVO,27-Aug-2015,0,XX,1955.45,2035.95,1940,2020.1,2020.1,162,406.77,29625,4125,20-JUL-2015,
FUTSTK,ABIRLANUVO,24-Sep-2015,0,XX,2010.25,2023.25,2010.25,2023.25,2040.35,2,5.04,500,0,20-JUL-2015,
FUTSTK,ACC,30-Jul-2015,0,XX,1429.35,1458.5,1423.95,1449.25,1449.25,12474,22455.32,1440375,30125,20-JUL-2015,
FUTSTK,ACC,27-Aug-2015,0,XX,1430.05,1465,1430,1455.95,1455.95,510,923.79,109750,15500,20-JUL-2015,
FUTSTK,ACC,24-Sep-2015,0,XX,0,0,0,1507,1476,0,0,500,0,20-JUL-2015,
FUTSTK,ADANIENT,30-Jul-2015,0,XX,89,89.4,87.15,88.15,88.15,4726,2082.92,9105000,25000,20-JUL-2015,
FUTSTK,ADANIENT,27-Aug-2015,0,XX,88.4,88.6,86.75,87.25,87.25,1400,611.86,2863000,287000,20-JUL-2015,
FUTSTK,ADANIENT,24-Sep-2015,0,XX,87.2,88,87.2,87.25,89.25,61,26.76,241000,26000,20-JUL-2015,
FUTSTK,ADANIPORTS,30-Jul-2015,0,XX,327.35,331.5,326.15,330.2,330.2,2942,9668.14,15018000,-89000,20-JUL-2015,
FUTSTK,ADANIPORTS,27-Aug-2015,0,XX,330,333,328.05,331.45,331.45,498,1639.72,1473000,125000,20-JUL-2015,
FUTSTK,ADANIPORTS,24-Sep-2015,0,XX,0,0,0,330.3,333.55,0,0,2000,0,20-JUL-2015,
FUTSTK,ADANIPOWER,30-Jul-2015,0,XX,30.25,30.35,29,29.2,29.2,3563,4185.22,83336000,-1112000,20-JUL-2015,
FUTSTK,ADANIPOWER,27-Aug-2015,0,XX,30.3,30.35,29.2,29.35,29.35,632,745.27,8700000,1472000,20-JUL-2015,
FUTSTK,ADANIPOWER,24-Sep-2015,0,XX,29.95,29.95,29.4,29.4,29.55,6,7.08,112000,20000,20-JUL-2015,
FUTSTK,AJANTPHARM,30-Jul-2015,0,XX,1690.05,1693.85,1669.15,1675.2,1675.2,2145,9015.17,741500,17250,20-JUL-2015,
FUTSTK,AJANTPHARM,27-Aug-2015,0,XX,1694.35,1699.65,1675,1686.15,1686.15,117,493.52,34750,11000,20-JUL-2015,
FUTSTK,AJANTPHARM,24-Sep-2015,0,XX,0,0,0,1551,1692.65,0,0,0,0,20-JUL-2015,
FUTSTK,ALBK,30-Jul-2015,0,XX,91.55,91.55,88.65,89.05,89.05,1979,3544.54,7810000,432000,20-JUL-2015,
FUTSTK,ALBK,27-Aug-2015,0,XX,91.2,91.2,89.3,89.5,89.5,148,266.22,538000,196000,20-JUL-2015,
FUTSTK,ALBK,24-Sep-2015,0,XX,90.75,90.75,90.75,90.75,90.15,1,1.81,18000,2000,20-JUL-2015,
FUTSTK,AMARAJABAT,30-Jul-2015,0,XX,872.1,878,863.8,870.05,870.05,581,1266.96,308250,17750,20-JUL-2015,
FUTSTK,AMARAJABAT,27-Aug-2015,0,XX,865,880.45,865,873.95,873.95,8,17.47,6750,1500,20-JUL-2015,
FUTSTK,AMARAJABAT,24-Sep-2015,0,XX,0,0,0,877.4,879.45,0,0,0,0,20-JUL-2015,
FUTSTK,AMBUJACEM,30-Jul-2015,0,XX,248.45,252.25,244.75,251.6,251.6,7062,17580.06,7870000,62000,20-JUL-2015,
FUTSTK,AMBUJACEM,27-Aug-2015,0,XX,247.4,252.3,245.75,251.2,251.2,2150,5371.51,633000,148000,20-JUL-2015,
FUTSTK,AMBUJACEM,24-Sep-2015,0,XX,0,0,0,252.25,254.95,0,0,1000,0,20-JUL-2015,
FUTSTK,AMTEKAUTO,30-Jul-2015,0,XX,169,171.65,167.9,169.6,169.6,584,1978.66,16900000,-768000,20-JUL-2015,
FUTSTK,AMTEKAUTO,27-Aug-2015,0,XX,0,0,0,170.5,170.5,351,1194.25,1338000,702000,20-JUL-2015,
FUTSTK,AMTEKAUTO,24-Sep-2015,0,XX,0,0,0,162.1,171.7,0,0,2000,0,20-JUL-2015,
FUTSTK,ANDHRABANK,30-Jul-2015,0,XX,72.7,72.8,70.05,70.45,70.45,1371,3886.83,13280000,132000,20-JUL-2015,
FUTSTK,ANDHRABANK,27-Aug-2015,0,XX,72.85,72.85,70.6,70.95,70.95,95,270.83,804000,124000,20-JUL-2015,
FUTSTK,ANDHRABANK,24-Sep-2015,0,XX,0,0,0,73.75,71.4,0,0,0,0,20-JUL-2015,
FUTSTK,APOLLOHOSP,30-Jul-2015,0,XX,1367.65,1367.65,1343.8,1349.85,1349.85,660,2236.2,406500,5500,20-JUL-2015,
FUTSTK,APOLLOHOSP,27-Aug-2015,0,XX,1365,1368.35,1348.25,1356.5,1356.5,28,95.14,11250,2750,20-JUL-2015,
FUTSTK,APOLLOHOSP,24-Sep-2015,0,XX,0,0,0,1327.65,1369.75,0,0,0,0,20-JUL-2015,
FUTSTK,APOLLOTYRE,30-Jul-2015,0,XX,189.6,195.4,187.65,194.6,194.6,5270,20229.61,8520000,388000,20-JUL-2015,
FUTSTK,APOLLOTYRE,27-Aug-2015,0,XX,187.5,194.6,187,193.6,193.6,470,1800,1250000,492000,20-JUL-2015,
FUTSTK,APOLLOTYRE,24-Sep-2015,0,XX,0,0,0,175.15,197.5,0,0,0,0,20-JUL-2015,
FUTSTK,ARVIND,30-Jul-2015,0,XX,299.05,302.6,293,300.25,300.25,5343,15974.31,4340000,-56000,20-JUL-2015,
FUTSTK,ARVIND,27-Aug-2015,0,XX,300.55,304,294.7,301.95,301.95,184,552.64,302000,34000,20-JUL-2015,
FUTSTK,ARVIND,24-Sep-2015,0,XX,0,0,0,293,307.6,0,0,4000,0,20-JUL-2015,
FUTSTK,ASHOKLEY,30-Jul-2015,0,XX,75.4,78.3,75.15,77.95,77.95,11993,36895.73,58924000,4452000,20-JUL-2015,
FUTSTK,ASHOKLEY,27-Aug-2015,0,XX,75.8,78.6,75.5,78.25,78.25,934,2884.19,3644000,844000,20-JUL-2015,
FUTSTK,ASHOKLEY,24-Sep-2015,0,XX,76.5,78.2,76.5,78.2,78.2,4,12.44,48000,12000,20-JUL-2015,
FUTSTK,ASIANPAINT,30-Jul-2015,0,XX,829,859,829,854.05,854.05,13859,29348.78,5116750,402000,20-JUL-2015,
FUTSTK,ASIANPAINT,27-Aug-2015,0,XX,835,862.7,834,858.05,858.05,748,1586.67,246500,72000,20-JUL-2015,
FUTSTK,ASIANPAINT,24-Sep-2015,0,XX,859.95,864.4,859.95,863.05,863.05,7,15.07,4500,1000,20-JUL-2015,
FUTSTK,AUROPHARMA,30-Jul-2015,0,XX,760.15,776.85,742,770.7,770.7,8603,33064.25,15756000,-240000,20-JUL-2015,
FUTSTK,AUROPHARMA,27-Aug-2015,0,XX,762,779.5,757.8,773.65,773.65,618,2384.76,461000,51500,20-JUL-2015,
FUTSTK,AUROPHARMA,24-Sep-2015,0,XX,772.45,779.85,771,775.4,775.4,5,19.38,6000,500,20-JUL-2015,
FUTSTK,AXISBANK,30-Jul-2015,0,XX,601.9,604.9,592.25,601.85,601.85,21245,63546.15,19526000,-496000,20-JUL-2015,
FUTSTK,AXISBANK,27-Aug-2015,0,XX,604.75,607.4,595.1,604.9,604.9,1234,3705.76,1003500,153000,20-JUL-2015,
FUTSTK,AXISBANK,24-Sep-2015,0,XX,605,610.5,599.25,610.5,608.5,8,24.13,18000,0,20-JUL-2015,
FUTSTK,BAJAJ-AUTO,30-Jul-2015,0,XX,2530.15,2558.6,2521.1,2529.85,2529.85,2491,7894.38,1684875,37500,20-JUL-2015,
FUTSTK,BAJAJ-AUTO,27-Aug-2015,0,XX,2561.8,2561.9,2536.9,2540.8,2540.8,104,331.05,40250,4500,20-JUL-2015,
FUTSTK,BAJAJ-AUTO,24-Sep-2015,0,XX,0,0,0,2594,2557.1,0,0,375,0,20-JUL-2015,
FUTSTK,BAJFINANCE,30-Jul-2015,0,XX,5224.25,5278.3,5135,5183.55,5183.55,463,3008.39,157000,2250,20-JUL-2015,
FUTSTK,BAJFINANCE,27-Aug-2015,0,XX,5213,5287,5213,5194.1,5194.1,4,26.16,4250,0,20-JUL-2015,
FUTSTK,BAJFINANCE,24-Sep-2015,0,XX,0,0,0,5312.15,5245.65,0,0,250,0,20-JUL-2015,
FUTSTK,BANKBARODA,30-Jul-2015,0,XX,155.6,157.5,151.75,153.45,153.45,3947,12139.54,24360000,-466000,20-JUL-2015,
FUTSTK,BANKBARODA,27-Aug-2015,0,XX,157.05,157.05,152.2,154,154,496,1529.61,1094000,300000,20-JUL-2015,
FUTSTK,BANKBARODA,24-Sep-2015,0,XX,154,155.5,154,155.5,155.15,2,6.19,18000,2000,20-JUL-2015,
FUTSTK,BANKINDIA,30-Jul-2015,0,XX,180.15,180.15,173.1,174.05,174.05,4625,8092.12,11483000,-22000,20-JUL-2015,
FUTSTK,BANKINDIA,27-Aug-2015,0,XX,180.5,180.5,174.2,174.95,174.95,509,894.67,1022000,191000,20-JUL-2015,
FUTSTK,BANKINDIA,24-Sep-2015,0,XX,179.65,179.65,175.7,176,176,73,128.47,139000,53000,20-JUL-2015,
