INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,29-Oct-2015,0,XX,17830,17915.6,17560,17719.6,17719.6,169750,752216.03,2284950,-138725,21-OCT-2015,
FUTIDX,BANKNIFTY,26-Nov-2015,0,XX,17934.5,18004.6,17655.1,17818.75,17818.75,9094,48646.28,193770,47340,21-OCT-2015,
FUTIDX,BANKNIFTY,31-Dec-2015,0,XX,18050,18100,17765,17913.05,17913.05,565,3039.52,22080,1050,21-OCT-2015,
FUTIDX,CNXINFRA,29-Oct-2015,0,XX,0,0,0,3349.5,3004.85,0,0,0,0,21-OCT-2015,
FUTIDX,CNXINFRA,26-Nov-2015,0,XX,0,0,0,3019.6,3021.8,0,0,0,0,21-OCT-2015,
FUTIDX,CNXINFRA,31-Dec-2015,0,XX,0,0,0,2832.6,3042.95,0,0,0,0,21-OCT-2015,
FUTIDX,CNXIT,29-Oct-2015,0,XX,11539.95,11564.4,11480,11534.5,11534.5,333,959.64,30050,-775,21-OCT-2015,
FUTIDX,CNXIT,26-Nov-2015,0,XX,11739.3,11739.3,11727.9,11727.9,11632.3,6,31.67,810,270,21-OCT-2015,
FUTIDX,CNXIT,31-Dec-2015,0,XX,0,0,0,12196.45,11713.8,0,0,0,0,21-OCT-2015,
FUTIDX,CNXPSE,29-Oct-2015,0,XX,0,0,0,3585.15,3166.75,0,0,0,0,21-OCT-2015,
FUTIDX,CNXPSE,26-Nov-2015,0,XX,0,0,0,3158.15,3184.6,0,0,0,0,21-OCT-2015,
FUTIDX,CNXPSE,31-Dec-2015,0,XX,0,0,0,3039.2,3206.9,0,0,0,0,21-OCT-2015,
FUTIDX,DJIA,20-Nov-2015,0,XX,17120,17200,17102.5,17157.5,17157.5,165,848.95,12360,2580,21-OCT-2015,
FUTIDX,DJIA,18-Dec-2015,0,XX,0,0,0,19362.5,17417.5,0,0,0,0,21-OCT-2015,
FUTIDX,DJIA,15-Jan-2016,0,XX,0,0,0,17447.5,17515,0,0,0,0,21-OCT-2015,
FUTIDX,DJIA,18-Mar-2016,0,XX,0,0,0,16072.5,17737.5,0,0,30,0,21-OCT-2015,
FUTIDX,DJIA,17-Jun-2016,0,XX,0,0,0,16385,18062.5,0,0,30,0,21-OCT-2015,
FUTIDX,DJIA,16-Sep-2016,0,XX,0,0,0,16702.5,18392.5,0,0,30,0,21-OCT-2015,
FUTIDX,FTSE100,20-Nov-2015,0,XX,0,0,0,6531,6383,0,0,0,0,21-OCT-2015,
FUTIDX,FTSE100,18-Dec-2015,0,XX,0,0,0,7042,6419,0,0,0,0,21-OCT-2015,
FUTIDX,FTSE100,15-Jan-2016,0,XX,0,0,0,6386,6455,0,0,0,0,21-OCT-2015,
FUTIDX,FTSE100,18-Mar-2016,0,XX,0,0,0,7571,6537,0,0,0,0,21-OCT-2015,
FUTIDX,FTSE100,17-Jun-2016,0,XX,0,0,0,7242,6657,0,0,0,0,21-OCT-2015,
