INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,30-Jul-2015,0,XX,18003.5,18272,17791.1,18220.15,18220.15,162318,730070.75,1489200,26525,29-JUN-2015,
FUTIDX,BANKNIFTY,27-Aug-2015,0,XX,18117.4,18350,17890,18320.2,18320.2,3349,15125.34,59700,6150,29-JUN-2015,
FUTIDX,BANKNIFTY,24-Sep-2015,0,XX,18242.55,18443,17961,18412.1,18412.1,275,1249.38,3950,2500,29-JUN-2015,
FUTIDX,CNXINFRA,30-Jul-2015,0,XX,0,0,0,3218.65,3268.45,0,0,0,0,29-JUN-2015,
FUTIDX,CNXINFRA,27-Aug-2015,0,XX,0,0,0,3235.7,3289.15,0,0,0,0,29-JUN-2015,
FUTIDX,CNXINFRA,24-Sep-2015,0,XX,0,0,0,3362.5,3309.95,0,0,0,0,29-JUN-2015,
FUTIDX,CNXIT,30-Jul-2015,0,XX,11184.55,11239.95,11025.05,11144.3,11144.3,688,1910.89,12100,2075,29-JUN-2015,
FUTIDX,CNXIT,27-Aug-2015,0,XX,11300,11300,11094.4,11183.7,11183.7,10,27.9,225,150,29-JUN-2015,
FUTIDX,CNXIT,24-Sep-2015,0,XX,0,0,0,11439.1,11354.25,0,0,0,0,29-JUN-2015,
FUTIDX,CNXPSE,30-Jul-2015,0,XX,0,0,0,3483.45,3525,0,0,0,0,29-JUN-2015,
FUTIDX,CNXPSE,27-Aug-2015,0,XX,0,0,0,3584,3547.35,0,0,0,0,29-JUN-2015,
FUTIDX,CNXPSE,24-Sep-2015,0,XX,0,0,0,3617.4,3569.8,0,0,0,0,29-JUN-2015,
FUTIDX,DJIA,17-Jul-2015,0,XX,17675,17760,17640,17727.5,17727.5,678,2996.81,15875,1675,29-JUN-2015,
FUTIDX,DJIA,21-Aug-2015,0,XX,17670,17670,17670,17670,18162.5,4,17.67,100,100,29-JUN-2015,
FUTIDX,DJIA,18-Sep-2015,0,XX,0,0,0,18855,18277.5,0,0,0,0,29-JUN-2015,
FUTIDX,DJIA,18-Dec-2015,0,XX,0,0,0,19362.5,18657.5,0,0,0,0,29-JUN-2015,
FUTIDX,DJIA,18-Mar-2016,0,XX,0,0,0,19560,19045,0,0,0,0,29-JUN-2015,
FUTIDX,DJIA,17-Jun-2016,0,XX,0,0,0,19635,19440,0,0,0,0,29-JUN-2015,
FUTIDX,FTSE100,17-Jul-2015,0,XX,0,0,0,6794,6781,0,0,450,0,29-JUN-2015,
FUTIDX,FTSE100,21-Aug-2015,0,XX,0,0,0,7109,6835,0,0,0,0,29-JUN-2015,
FUTIDX,FTSE100,18-Sep-2015,0,XX,0,0,0,7413,6879,0,0,0,0,29-JUN-2015,
FUTIDX,FTSE100,18-Dec-2015,0,XX,0,0,0,7042,7021,0,0,0,0,29-JUN-2015,
FUTIDX,FTSE100,18-Mar-2016,0,XX,0,0,0,7571,7167,0,0,0,0,29-JUN-2015,
FUTIDX,FTSE100,17-Jun-2016,0,XX,0,0,0,7242,7315,0,0,0,0,29-JUN-2015,
FUTIDX,NFTYMCAP50,30-Jul-2015,0,XX,0,0,0,3333.2,3210.75,0,0,0,0,29-JUN-2015,
FUTIDX,NFTYMCAP50,27-Aug-2015,0,XX,0,0,0,3414.35,3231.05,0,0,0,0,29-JUN-2015,
FUTIDX,NFTYMCAP50,24-Sep-2015,0,XX,0,0,0,3316.15,3251.55,0,0,0,0,29-JUN-2015,
FUTIDX,NIFTY,30-Jul-2015,0,XX,8262.25,8334,8191.4,8319.15,8319.15,685923,1415800.98,15200625,1376275,29-JUN-2015,
FUTIDX,NIFTY,27-Aug-2015,0,XX,8283.5,8366.7,8228.35,8354.15,8354.15,14065,29144.63,806000,22850,29-JUN-2015,
FUTIDX,NIFTY,24-Sep-2015,0,XX,8374.65,8404,8270,8392.4,8392.4,2603,5418.69,55400,19500,29-JUN-2015,
FUTIDX,S&P500,17-Jul-2015,0,XX,2072,2080.75,2065,2077.75,2077.75,677,3506.14,152750,-78000,29-JUN-2015,
FUTIDX,S&P500,21-Aug-2015,0,XX,0,0,0,2168.5,2126.75,0,0,0,0,29-JUN-2015,
FUTIDX,S&P500,18-Sep-2015,0,XX,0,0,0,2196.5,2140.25,0,0,0,0,29-JUN-2015,
FUTIDX,S&P500,18-Dec-2015,0,XX,0,0,0,2244.75,2184.75,0,0,0,0,29-JUN-2015,
FUTIDX,S&P500,18-Mar-2016,0,XX,0,0,0,2275.75,2230,0,0,0,0,29-JUN-2015,
FUTIDX,S&P500,17-Jun-2016,0,XX,0,0,0,2299,2276.25,0,0,0,0,29-JUN-2015,
FUTIVX,INDIAVIX,30-Jun-2015,0,XX,0,0,0,1796.75,1730.25,0,0,0,0,29-JUN-2015,
FUTIVX,INDIAVIX,07-Jul-2015,0,XX,0,0,0,1721.75,1730.25,0,0,0,0,29-JUN-2015,
FUTIVX,INDIAVIX,14-Jul-2015,0,XX,0,0,0,1538.75,1730.25,0,0,0,0,29-JUN-2015,
FUTSTK,ABIRLANUVO,30-Jul-2015,0,XX,1752.45,1755,1704.95,1732.2,1732.2,2015,4357.9,885000,-7125,29-JUN-2015,
FUTSTK,ABIRLANUVO,27-Aug-2015,0,XX,1745,1745.65,1715,1739.3,1739.3,38,82.44,7125,2625,29-JUN-2015,
FUTSTK,ABIRLANUVO,24-Sep-2015,0,XX,1747,1747,1745,1745,1759.2,4,8.73,625,500,29-JUN-2015,
FUTSTK,ACC,30-Jul-2015,0,XX,1392.25,1412.1,1375,1403.65,1403.65,4987,8670.47,971875,13000,29-JUN-2015,
FUTSTK,ACC,27-Aug-2015,0,XX,1391.4,1410.45,1383,1408.15,1408.15,78,136.26,13500,6375,29-JUN-2015,
FUTSTK,ACC,24-Sep-2015,0,XX,0,0,0,1436.5,1439.75,0,0,0,0,29-JUN-2015,
FUTSTK,ADANIENT,30-Jul-2015,0,XX,93.4,93.4,89.7,91.7,91.7,5488,2516.2,7492500,86000,29-JUN-2015,
FUTSTK,ADANIENT,27-Aug-2015,0,XX,93.4,93.4,89.8,91.5,91.5,442,202.58,352500,126000,29-JUN-2015,
FUTSTK,ADANIENT,24-Sep-2015,0,XX,0,0,0,96.45,93.2,0,0,0,0,29-JUN-2015,
FUTSTK,ADANIPORTS,30-Jul-2015,0,XX,308.1,309,301.85,307.95,307.95,4768,14543.35,15554000,245000,29-JUN-2015,
FUTSTK,ADANIPORTS,27-Aug-2015,0,XX,306.75,309.85,303.65,309.4,309.4,33,101.09,30000,4000,29-JUN-2015,
FUTSTK,ADANIPORTS,24-Sep-2015,0,XX,0,0,0,318.95,312.75,0,0,0,0,29-JUN-2015,
FUTSTK,ADANIPOWER,30-Jul-2015,0,XX,29.25,29.3,27.75,29.1,29.1,2545,2919.48,68492000,-144000,29-JUN-2015,
FUTSTK,ADANIPOWER,27-Aug-2015,0,XX,28.2,29.45,28,29.2,29.2,102,118,1040000,244000,29-JUN-2015,
FUTSTK,ADANIPOWER,24-Sep-2015,0,XX,29,29.6,29,29.6,29.6,5,5.86,20000,16000,29-JUN-2015,
FUTSTK,AJANTPHARM,30-Jul-2015,0,XX,1542.05,1542.05,1500.05,1532.1,1532.1,1498,5706.18,427500,18500,29-JUN-2015,
FUTSTK,AJANTPHARM,27-Aug-2015,0,XX,1530,1530,1530,1530,1545,1,3.82,500,0,29-JUN-2015,
FUTSTK,AJANTPHARM,24-Sep-2015,0,XX,0,0,0,1551,1554.75,0,0,0,0,29-JUN-2015,
FUTSTK,ALBK,30-Jul-2015,0,XX,89.9,89.9,85.3,87.55,87.55,2381,4130.36,8454000,240000,29-JUN-2015,
FUTSTK,ALBK,27-Aug-2015,0,XX,87.5,88.2,86.05,87.95,87.95,32,55.68,114000,38000,29-JUN-2015,
FUTSTK,ALBK,24-Sep-2015,0,XX,0,0,0,93,88.9,0,0,0,0,29-JUN-2015,
FUTSTK,AMARAJABAT,30-Jul-2015,0,XX,864.4,873,850,868.1,868.1,575,1240.03,196250,-19750,29-JUN-2015,
FUTSTK,AMARAJABAT,27-Aug-2015,0,XX,0,0,0,875,878.35,0,0,500,0,29-JUN-2015,
FUTSTK,AMARAJABAT,24-Sep-2015,0,XX,0,0,0,877.4,883.9,0,0,0,0,29-JUN-2015,
FUTSTK,AMBUJACEM,30-Jul-2015,0,XX,223.15,227.9,220.75,227.2,227.2,2172,4868.92,4849000,39000,29-JUN-2015,
FUTSTK,AMBUJACEM,27-Aug-2015,0,XX,224.9,228,223,228,228,6,13.49,6000,-2000,29-JUN-2015,
FUTSTK,AMBUJACEM,24-Sep-2015,0,XX,0,0,0,231.25,232,0,0,0,0,29-JUN-2015,
FUTSTK,AMTEKAUTO,30-Jul-2015,0,XX,153.15,156.3,150.4,155.55,155.55,1161,3582.41,18422000,282000,29-JUN-2015,
FUTSTK,AMTEKAUTO,27-Aug-2015,0,XX,153,156.9,153,156.9,156.9,14,43.64,14000,8000,29-JUN-2015,
FUTSTK,AMTEKAUTO,24-Sep-2015,0,XX,0,0,0,158.4,158,0,0,0,0,29-JUN-2015,
FUTSTK,ANDHRABANK,30-Jul-2015,0,XX,68.3,68.7,66.6,68,68,1369,3694.42,15660000,432000,29-JUN-2015,
FUTSTK,ANDHRABANK,27-Aug-2015,0,XX,67.5,68.5,67.3,68.4,70.75,58,156.82,260000,120000,29-JUN-2015,
FUTSTK,ANDHRABANK,24-Sep-2015,0,XX,0,0,0,73.75,71.2,0,0,0,0,29-JUN-2015,
FUTSTK,APOLLOHOSP,30-Jul-2015,0,XX,1289.95,1299.6,1265.25,1283.65,1283.65,1375,4409.14,409750,-21500,29-JUN-2015,
FUTSTK,APOLLOHOSP,27-Aug-2015,0,XX,1294.35,1294.35,1294.35,1294.35,1294.35,1,3.23,2250,0,29-JUN-2015,
FUTSTK,APOLLOHOSP,24-Sep-2015,0,XX,0,0,0,1327.65,1308.7,0,0,0,0,29-JUN-2015,
FUTSTK,APOLLOTYRE,30-Jul-2015,0,XX,167.95,168.6,162.75,165.15,165.15,3722,12266.93,9058000,-328000,29-JUN-2015,
