INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,29-Oct-2015,0,XX,17614,17814.95,17550,17622.85,17622.85,127596,564666.42,2239300,65850,12-OCT-2015,
FUTIDX,BANKNIFTY,26-Nov-2015,0,XX,17750,17910,17696,17721.9,17721.9,2329,12436.55,84780,1740,12-OCT-2015,
FUTIDX,BANKNIFTY,31-Dec-2015,0,XX,17800,18002.95,17793.55,17819.6,17819.6,229,1228.63,15330,2010,12-OCT-2015,
FUTIDX,CNXINFRA,29-Oct-2015,0,XX,0,0,0,3349.5,2968.8,0,0,0,0,12-OCT-2015,
FUTIDX,CNXINFRA,26-Nov-2015,0,XX,0,0,0,3019.6,2985.55,0,0,0,0,12-OCT-2015,
FUTIDX,CNXINFRA,31-Dec-2015,0,XX,0,0,0,2832.6,3006.35,0,0,0,0,12-OCT-2015,
FUTIDX,CNXIT,29-Oct-2015,0,XX,11900,12000,11535.25,11606.2,11606.2,878,2568.14,14175,-175,12-OCT-2015,
FUTIDX,CNXIT,26-Nov-2015,0,XX,0,0,0,12100,11734.95,0,0,270,0,12-OCT-2015,
FUTIDX,CNXIT,31-Dec-2015,0,XX,0,0,0,12196.45,11816.7,0,0,0,0,12-OCT-2015,
FUTIDX,CNXPSE,29-Oct-2015,0,XX,0,0,0,3585.15,3146.8,0,0,0,0,12-OCT-2015,
FUTIDX,CNXPSE,26-Nov-2015,0,XX,0,0,0,3158.15,3164.55,0,0,0,0,12-OCT-2015,
FUTIDX,CNXPSE,31-Dec-2015,0,XX,0,0,0,3039.2,3186.6,0,0,0,0,12-OCT-2015,
FUTIDX,DJIA,16-Oct-2015,0,XX,17027.5,17070,17020,17032.5,17032.5,410,1746.42,19875,175,12-OCT-2015,
FUTIDX,DJIA,20-Nov-2015,0,XX,16990,17000,16970,17000,17000,12,61.15,990,360,12-OCT-2015,
FUTIDX,DJIA,18-Dec-2015,0,XX,0,0,0,19362.5,17315,0,0,0,0,12-OCT-2015,
FUTIDX,DJIA,18-Mar-2016,0,XX,0,0,0,16072.5,17630,0,0,30,0,12-OCT-2015,
FUTIDX,DJIA,17-Jun-2016,0,XX,0,0,0,16385,17950,0,0,30,0,12-OCT-2015,
FUTIDX,DJIA,16-Sep-2016,0,XX,0,0,0,16702.5,18277.5,0,0,30,0,12-OCT-2015,
FUTIDX,FTSE100,16-Oct-2015,0,XX,0,0,0,6270,6422,0,0,300,0,12-OCT-2015,
FUTIDX,FTSE100,20-Nov-2015,0,XX,0,0,0,6531,6466,0,0,0,0,12-OCT-2015,
FUTIDX,FTSE100,18-Dec-2015,0,XX,0,0,0,7042,6502,0,0,0,0,12-OCT-2015,
FUTIDX,FTSE100,18-Mar-2016,0,XX,0,0,0,7571,6621,0,0,0,0,12-OCT-2015,
